num,issum
50,FALSE
32,FALSE
17,FALSE
18,FALSE
6,FALSE
12,FALSE
24,FALSE
43,FALSE
14,FALSE
40,FALSE
15,FALSE
25,FALSE
19,FALSE
22,FALSE
44,FALSE
41,FALSE
30,FALSE
21,FALSE
7,FALSE
31,FALSE
35,FALSE
38,FALSE
28,FALSE
46,FALSE
1,FALSE
34,
64,
13,
27,
29,
8,
57,
20,
9,
10,
26,
11,
15,
12,
75,
16,
37,
73,
14,
25,
39,
17,
18,
19,
21,
30,
38,
22,
42,
23,
24,
27,
32,
91,
83,
98,
26,
28,
29,
47,
53,
33,
55,
31,
41,
35,
36,
37,
44,
43,
67,
45,
73,
72,
56,
100,
59,
70,
86,
54,
95,
57,
60,
62,
74,
107,
76,
66,
68,
71,
81,
79,
99,
87,
151,
114,
104,
166,
110,
155,
113,
111,
116,
178,
117,
125,
119,
180,
128,
134,
182,
137,
283,
187,
150,
196,
183,
197,
191,
306,
280,
405,
223,
221,
224,
297,
235,
504,
236,
267,
330,
247,
271,
494,
320,
324,
287,
333,
371,
341,
459,
374,
471,
412,
456,
444,
511,
522,
518,
460,
558,
610,
795,
483,
571,
612,
644,
591,
607,
611,
835,
1088,
793,
834,
715,
786,
1344,
856,
872,
900,
1093,
1029,
943,
1738,
1178,
1041,
1384,
1054,
1074,
1235,
1198,
1202,
1322,
1218,
1326,
2247,
1627,
1571,
2135,
1587,
1729,
1728,
1843,
2629,
3519,
2328,
1972,
1984,
2095,
2115,
2128,
2256,
2252,
2272,
2400,
3450,
3618,
2540,
2789,
2913,
3158,
3198,
3315,
3712,
3559,
3457,
4067,
4240,
4351,
3956,
4761,
4079,
6856,
4210,
4243,
5286,
4508,
4652,
7850,
11300,
9396,
6772,
5329,
6655,
6071,
11806,
7438,
6874,
7016,
7769,
7413,
13179,
8035,
8307,
11623,
14068,
10734,
12012,
8718,
10579,
9160,
11424,
15932,
15473,
13098,
16176,
11400,
11984,
18147,
13087,
13890,
14454,
15592,
19435,
15182,
20319,
16342,
16753,
22786,
21805,
17878,
29927,
20560,
19297,
34209,
20584,
22824,
28326,
43384,
44502,
23384,
24487,
26438,
57838,
26977,
33060,
29636,
40079,
31524,
34479,
61884,
33095,
34631,
37175,
44855,
38438,
39857,
39881,
42121,
43408,
43968,
47311,
47871,
76379,
62925,
49822,
74848,
60072,
56613,
58501,
72917,
109474,
86089,
64619,
67574,
67726,
72976,
71806,
98510,
78295,
79738,
81978,
116685,
100581,
131461,
91279,
95182,
97693,
106435,
123120,
